JPL Id,Name,Mass (kg),Density (kg / m3)
SB:2241,Alcathous,1577333407345870000,2000
SB:225,Henrietta,1829983296949760000,1998
SB:225088,2007 OR10,1809551434551450000000,1207
SB:226,Weringia,40580714327439500,2000
SB:227,Philosophia,696980438049203000,2000
SB:229,Adelinda,847766715286184000,2000
SB:229762,2007 UK126,708006086033067000000,2641
SB:23,Thalia,1299998171390240000,1993
SB:230,Athamantis,1355777999176390000,2000
SB:230965,2004 XA192,353989102722526000000,2579
SB:233,Asterope,1400196154635450000,2463
SB:238,Hypatia,3428627041894880000,2000
SB:24,Themis M,11298973639338800000,2780
SB:240,Vanadis,1174560163175820000,2000
SB:241,Germania,5050700900143660000,2002
SB:243,Ida,42000550810564800,2591
SB:247,Eukrate,2544000663756280000,2000
SB:24835,1995 SM55,5516661913941600000,2000
SB:25,Phocaea,445330198380680000,2000
SB:25143,Itokawa,35742434705,206
SB:253,Mathilde,103277375892320000,1340
SB:259,Aletheia,5968841973844600000,2001
SB:26,Proserpina,900212009889161000,2018
SB:26308,1998 SM165,14004171580302400000,1221
SB:26375,1999 DE9,102596229544226000000,2000
SB:268,Adorea,2869608911705880000,2002
SB:2685,Masursky,8000505633528000,2620
SB:26858,Misterrogers,897841013720833,2000
SB:27,EuterpeA,930199359887770000,2008
SB:276,Adelheid,1882909077606670000,2000
SB:279,Thule,2124353682997630000,2000
SB:2797,Teucer,1437605751932430000,2000
SB:28,Bellona,1850578562809470000,2000
SB:283,Emma,1379984856127040000,813
SB:2867,Šteins,155903632132633,2000
SB:28978,IxionRA,299952856910904000000,2086
SB:29,Amphitrite,11798786879797700000,2365
SB:29075,1950 DA,3000246161242,3316
SB:2920,Automedon,1432179855297900000,2000
SB:29981,1999 TD10,1167790380671310000,2000
SB:29P,29P/Schwassmann-Wachmann,54344440244282000,2000
SB:2P,2P/Encke,115811673292800,2000
SB:3,Juno,26700538742823900000,3984
SB:30,Urania,1047197566666670000,2000
SB:303775,2005 QU1829,1210018537200540000000,2243
SB:3063,Makhaon,1600299845143420000,1951
SB:308,Polyxo,2920581076491300000,2003
SB:31,EuphrosyneM,6228231688692260000,709
SB:31824,Elatus,28274334300000000,2000
SB:32,PomonaA,550123699223591000,1977
SB:3200,Phaethon,140023098851227,2016
SB:324,BambergaM,9997667986896660000,1611
SB:328,Gudrun,1940033295503400000,1995
SB:33001,1997 CU29,9837301684634560000,2000
SB:3317,Paris,1645582197095110000,2000
SB:334,Chicago,4173758951314270000,2000
SB:34,Circe,1499756142397090000,1959
SB:344,Desiderata,2419695708509870000,1997
SB:345,Tercidina,873120891553367000,2000
SB:346,Hermentaria,1265674696392170000,2000
SB:349,Dembowska,2859371076936020000,2000
SB:35,Leukothea,1099756389919560000,1916
SB:350,Ornamenta,1735934806840720000,2000
SB:354,Eleonora,3912477966465190000,2000
SB:356,Liguria,2370947996287610000,2000
SB:357,Ninina,1250762281754250000,2000
SB:36,Atalante,1233162697221730000,2000
SB:360,Carlova,1624441884279970000,2000
SB:361,Bononia,2980725996944210000,2000
SB:365,Corduba,1244407272935210000,2000
SB:37,Fides,1300039414654840000,1971
SB:372,Palma,7027354233863660000,2000
SB:375,Ursula,10553338728806400000,2000
SB:3753,Cruithne,129983397962500,1986
SB:379,Huenna,479977269121951000,1162
SB:379,S/2003 1 Huenna I,359188765366667,2000
SB:38,Leda,1600206795975790000,1961
SB:38083,Rhadamanthus,8503873607070900000,2000
SB:381,Myrrha,1835923001565330000,2000
SB:386,Siegena,4704142369162500000,2000
SB:38628,HuyaR,157990597960529000000,2004
SB:387,Aquitania,1063301541174600000,2000
SB:388,Charybdis,1558420410729750000,2000
SB:39,Laetitia,3500816081725780000,2001
SB:3908,Nyx,2000167324485,3396
SB:4,Vesta,261975436850228000000,3376
SB:40,Harmonia,1299744640435990000,2015
SB:401,Ottilia,1019794122209530000,2000
SB:40314,1999 KR169,29420454337604300000,2000
SB:404,Arsinoe,976890000680415000,2000
SB:405,Thia,2040402934745760000,2000
SB:4055,Magellan,16166896786394,2000
SB:4063,Euforbo,1126397502888150000,2000
SB:409,Aspasia,4420932985051940000,2000
SB:41,Daphne,5516661913941600000,2000
SB:410,Chloris,1975912753646780000,2000
SB:4179,Toutatis,49963463044193,606
SB:419,Aurelia,2248530330158900000,2000
SB:42,Isis,1053493326815050000,2000
SB:420,Bertholda,2951168412794210000,2000
SB:423,DiotimaA,15998659454882400000,3358
SB:42301,2001 UR1639,268950705420230000000,2263
SB:42355,Typhon,5612324458854170000,2000
SB:426,Hippo,2150132758937120000,2000
SB:43,Ariadne,299425922250401000,2000
SB:433,Eros,66893072771525900,3344
SB:4348,Poulydamas,115089357252018000,2000
SB:44,Nysa,370053978212161000,2005
SB:444,GyptisM,12499112076610900000,5504
SB:45,EugeniaM,5690776047864780000,1109
SB:45,S/2004 1 Eugenia II,226194674400000,2000
SB:451,Patientia,11928234782812500000,2000
SB:46,Hestia,3499908999793230000,3494
SB:466,Tisiphone,1614778448180060000,2000
SB:4660,Nereus,37633138953,2000
SB:469,Argentina,2073415339247400000,2000
SB:46P,46P/Wirtanen,1809557395200,2000
SB:47,Aglaja,2143035501559650000,2000
SB:471,Papagena,2530399441589220000,2000
SB:47171,1999 TC36(A1),24497779638637100000,2000
SB:47171,1999 TC36(A2),19487954016579200000,2000
SB:47171,1999 TC36(B),2812373681793770000,2000
SB:476,Hedwig,1666905130693890000,2000
SB:4769,Castalia,1300263330627,905
SB:47932,2000 GN171,34637275313874900000,2000
SB:48,Doris,17002633012470100000,2976
SB:48639,1995 TL8,44898595670833300000,2000
SB:48639,S/2002 1,4370249708216230000,2000
SB:489,Comacina,2836112661048300000,2000
SB:49,Pales M,2689412524607870000,1528
SB:490,Veritas,1615617221489340000,2000
SB:5,Astraea,2900092966226580000,3281
SB:50,VirginiaA,999890757561368000,1920
SB:50000,Quaoar,1600139147831250000000,4335
SB:506,Marion,1245112319532010000,2000
SB:508,Princetonia,3021291037555700000,2000
SB:51,Nemausa,3385171921787950000,2000
SB:511,Davida,43796476114454500000,3451
SB:514,Armida,1253239505209150000,2000
SB:5145,Pholus,6600625212727130000,1991
SB:52,Europa,16502155831194500000,1158
SB:521,Brixia,1619815445173480000,2000
SB:522,Helga,1085994493815740000,2000
SB:52872,Okyrhoe,147414318140588000,2000
SB:52975,Cyllarus,249576501668533000,2000
SB:53,Kalypso,1608496900068220000,2000
SB:532,Herculina,11457438842383200000,2000
SB:53311,Deucalion,9837301684634560000,2000
SB:53319,1999 JM8,44898595670833,2000
SB:536,Merapi,3634178459313920000,2000
SB:54,Alexandra,4769444929763480000,2000
SB:545,Messalina,1443434401380460000,2000
SB:54598,Bienor,9288373286558700000,2000
SB:55,Pandora,310746414383923000,2000
SB:5535,Annefrank,115811673292800,2000
SB:55565,2002 AW197,413953021879438000000,1951
SB:55576,Amycus,465159867624029000,2000
SB:55636,2002 TX300,12003912022932200000,980
SB:55637,2002 UX25,330918787408544000000,2010
SB:56,Melete,1500117564246840000,1973
